name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
KONYA Zsofia,KONYA Z,Female,1995-02-06,SZEGED,Hungary,Hungary,HUN,Short Track Speed Skating,STK,SZEGED,Hungary,,../../../en/results/short-track-speed-skating/athlete-profile-n1044446-zsofia-konya.htm
KOPS Hailey,KOPS H,Female,2002-06-01,"NEW YORK, NY",United States of America,Israel,ISR,Figure Skating,FSK,"HACKENSACK, NJ",United States of America,,../../../en/results/figure-skating/athlete-profile-n1037363-hailey-kops.htm
KORCHUK Anton,KORCHUK A,Male,2004-08-04,,Ukraine,Ukraine,UKR,Ski Jumping,SJP,,Ukraine,,../../../en/results/ski-jumping/athlete-profile-n1041807-anton-korchuk.htm
KORISTEK Jan,KORISTEK J,Male,1996-07-11,ZVOLEN,Slovakia,Slovakia,SVK,Cross-Country Skiing,CCS,LATKY CECHANKY,Slovakia,,../../../en/results/cross-country-skiing/athlete-profile-n1053045-jan-koristek.htm
KORZHAKOVA Veronika,KORZHAKOVA V,Female,2003-06-09,CHELYABINSK,Russian Federation,ROC,ROC,Ice Hockey,IHO,UFA,Russian Federation,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1056262-veronika-korzhakova.htm
KOS Lovro,KOS L,Male,1999-07-23,LJUBLJANA,Slovenia,Slovenia,SLO,Ski Jumping,SJP,LJUBLJANA,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1050997-lovro-kos.htm
KOSIR Zan,KOSIR Z,Male,1984-04-11,KRANJ,Slovenia,Slovenia,SLO,Snowboard,SBD,TRZIC,Slovenia,,../../../en/results/snowboard/athlete-profile-n1051151-zan-kosir.htm
KOSOVA Ekaterina,KOSOVA E,Female,1996-04-25,MOSCOW,Russian Federation,ROC,ROC,Snowboard,SBD,,,,../../../en/results/snowboard/athlete-profile-n1036848-ekaterina-kosova.htm
KOTNIK Gloria,KOTNIK G,Female,1989-06-01,SLOVENJ GRADEC,Slovenia,Slovenia,SLO,Snowboard,SBD,,Slovenia,,../../../en/results/snowboard/athlete-profile-n1050943-gloria-kotnik.htm
KOTOVSKYI Dmytro,KOTOVSKYI D,Male,2001-11-08,,,Ukraine,UKR,Freestyle Skiing,FRS,,,,../../../en/results/freestyle-skiing/athlete-profile-n1042099-dmytro-kotovskyi.htm
KOUDELKA Roman,KOUDELKA R,Male,1989-07-09,TURNOV,Czech Republic,Czech Republic,CZE,Ski Jumping,SJP,LOMNICE NAD POPELKOU,Czech Republic,,../../../en/results/ski-jumping/athlete-profile-n1034758-roman-koudelka.htm
KOUYOUMDJIAN Yianno,KOUYOUMDJIAN Y,Male,1997-01-08,NICOSIA,Cyprus,Cyprus,CYP,Alpine Skiing,ALP,NICOSIA,Cyprus,,../../../en/results/alpine-skiing/athlete-profile-n1051054-yianno-kouyoumdjian.htm
KOVALEVA Alina,KOVALEVA A,Female,1993-02-18,SLANTSY,Russian Federation,ROC,ROC,Curling,CUR,ST. PETERSBURG,Russian Federation,,../../../en/results/curling/athlete-profile-n1036536-alina-kovaleva.htm
KOVAR Jan,KOVAR J,Male,1990-03-20,PISEK,Czechoslovakia,Czech Republic,CZE,Ice Hockey,IHO,ZUG,Switzerland,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1055586-jan-kovar.htm
KOVBASNYUK Ivan,KOVBASNYUK I,Male,1993-05-18,YASINIA,Ukraine,Ukraine,UKR,Alpine Skiing,ALP,YASINIA,Ukraine,,../../../en/results/alpine-skiing/athlete-profile-n1045063-ivan-kovbasnyuk.htm
KOWALEWSKI Jakub,KOWALEWSKI J,Male,1994-06-16,JELENIA GORA,Poland,Poland,POL,Luge,LUG,KARPACZ,Poland,,../../../en/results/luge/athlete-profile-n1034866-jakub-kowalewski.htm
KOYAMA Remi,KOYAMA R,Female,2000-07-17,,,Japan,JPN,Ice Hockey,IHO,,,1.46/4'9'',../../../en/results/ice-hockey/athlete-profile-n1042441-remi-koyama.htm
KOYAMA Yohei,KOYAMA Y,Male,1998-05-31,KANAZAWA CITY,Japan,Japan,JPN,Alpine Skiing,ALP,,,,../../../en/results/alpine-skiing/athlete-profile-n1042312-yohei-koyama.htm
KOZISEK Cestmir,KOZISEK C,Male,1991-11-09,JILEMNICE,Czech Republic,Czech Republic,CZE,Ski Jumping,SJP,LOMNICE NAD POPELKOU,Czech Republic,,../../../en/results/ski-jumping/athlete-profile-n1034763-cestmir-kozisek.htm
KOZLOVSKII Dmitrii,KOZLOVSKII D,Male,1999-12-23,SAINT PETERSBURG,Russian Federation,ROC,ROC,Figure Skating,FSK,SAINT PETERSBURG,Russian Federation,,../../../en/results/figure-skating/athlete-profile-n1057085-dmitrii-kozlovskii.htm
KOZUBACK Kamilla,KOZUBACK K,Female,2004-05-05,"CALGARY, AB",Canada,Hungary,HUN,Snowboard,SBD,"CALGARY, AB",Canada,,../../../en/results/snowboard/athlete-profile-n1035484-kamilla-kozuback.htm
KRAFT Stefan,KRAFT S,Male,1993-05-13,SCHWARZACH,Austria,Austria,AUT,Ski Jumping,SJP,OBERALM,Austria,,../../../en/results/ski-jumping/athlete-profile-n1005784-stefan-kraft.htm
KRAMER Sven,KRAMER S,Male,1986-04-23,HEERENVEEN,Netherlands,Netherlands,NED,Speed Skating,SSK,HEERENVEEN,Netherlands,1.87/6'1'',../../../en/results/speed-skating/athlete-profile-n1055967-sven-kramer.htm
KRAMMER Nicolas,KRAMMER N,Male,1992-10-23,LANDSHUT,Germany,Germany,GER,Ice Hockey,IHO,MANNHEIM,Germany,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1001172-nicolas-krammer.htm
KRAMPE Samanta,KRAMPE S,Female,2003-03-27,RIGA,Latvia,Latvia,LAT,Cross-Country Skiing,CCS,RIGA,Latvia,,../../../en/results/cross-country-skiing/athlete-profile-n1038227-samanta-krampe.htm
KRANJEC Zan,KRANJEC Z,Male,1992-11-15,LJUBLJANA,Slovenia,Slovenia,SLO,Alpine Skiing,ALP,BUKOVICA PRI VODICAH,Slovenia,,../../../en/results/alpine-skiing/athlete-profile-n1051178-zan-kranjec.htm
KRASNOPOLSKI Evgeni,KRASNOPOLSKI E,Male,1988-10-04,KIEV,Ukraine,Israel,ISR,Figure Skating,FSK,"HACKENSACK, NJ",United States of America,,../../../en/results/figure-skating/athlete-profile-n1009557-evgeni-krasnopolski.htm
KRASOVSKYI Oleksii,KRASOVSKYI O,Male,1994-03-30,ROKYTNE,Ukraine,Ukraine,UKR,Cross-Country Skiing,CCS,,,,../../../en/results/cross-country-skiing/athlete-profile-n1042218-oleksii-krasovskyi.htm
KRASTENBERGS Renars,KRASTENBERGS R,Male,1998-12-26,JELGAVA,Latvia,Latvia,LAT,Ice Hockey,IHO,VILLACH,Austria,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1037273-renars-krastenbergs.htm
KRAUSE Mikkel,KRAUSE M,Male,1988-10-02,HVIDOVRE,Denmark,Denmark,DEN,Curling,CUR,HVIDOVRE,Denmark,,../../../en/results/curling/athlete-profile-n1031850-mikkel-krause.htm
KRCMAR Michal,KRCMAR M,Male,1991-01-23,VRCHLABI,Czech Republic,Czech Republic,CZE,Biathlon,BTH,JABLONEC NAD NISOU,Czech Republic,,../../../en/results/biathlon/athlete-profile-n1034270-michal-krcmar.htm
KREHL Sofie,KREHL S,Female,1995-09-22,KEMPTEN,Germany,Germany,GER,Cross-Country Skiing,CCS,RETTENBERG,Germany,,../../../en/results/cross-country-skiing/athlete-profile-n1012747-sofie-krehl.htm
KREIENBUEHL Rafael,KREIENBUEHL R,Male,1999-06-10,DAVOS,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,DAVOS,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048641-rafael-kreienbuehl.htm
KREJCI David,KREJCI D,Male,1986-04-28,STERNBERK,Czechoslovakia,Czech Republic,CZE,Ice Hockey,IHO,OLOMOUC,Czech Republic,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1055724-david-krejci.htm
KRIECHMAYR Vincent,KRIECHMAYR V,Male,1991-10-01,LINZ,Austria,Austria,AUT,Alpine Skiing,ALP,LINZ,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005384-vincent-kriechmayr.htm
KRIPPS Justin,KRIPPS J,Male,1987-01-06,"NA'ALEHU, HI",United States of America,Canada,CAN,Bobsleigh,BOB,"CALGARY, AB",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054928-justin-kripps.htm
KRISTENSEN Emil,KRISTENSEN E,Male,1992-09-20,ESBJERG,Denmark,Denmark,DEN,Ice Hockey,IHO,BRUNECK,Italy,1.84/6'0'',../../../en/results/ice-hockey/athlete-profile-n1031895-emil-kristensen.htm
KRISTOF Michal,KRISTOF M,Male,1993-10-11,NITRA,Slovakia,Slovakia,SVK,Ice Hockey,IHO,BRNO,Czech Republic,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1044286-michal-kristof.htm
KRISTOFFERSEN Henrik,KRISTOFFERSEN H,Male,1994-07-02,LORENSKOG,Norway,Norway,NOR,Alpine Skiing,ALP,RAELINGEN,Norway,,../../../en/results/alpine-skiing/athlete-profile-n1031300-henrik-kristoffersen.htm
KRIZNAR Nika,KRIZNAR N,Female,2000-03-09,SKOFJA LOKA,Slovenia,Slovenia,SLO,Ski Jumping,SJP,,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1051161-nika-kriznar.htm
KRIZOVA Denisa,KRIZOVA D,Female,1994-11-03,HORNI CEREKEV,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,,,1.65/5'4'',../../../en/results/ice-hockey/athlete-profile-n1055703-denisa-krizova.htm
KROL Aleksandra,KROL A,Female,1990-11-20,ZAKOPANE,Poland,Poland,POL,Snowboard,SBD,NOWY TARG,Poland,,../../../en/results/snowboard/athlete-profile-n1032092-aleksandra-krol.htm
KROL Thomas,KROL T,Male,1992-08-16,COLMSCHATE,Netherlands,Netherlands,NED,Speed Skating,SSK,HEERENVEEN,Netherlands,1.92/6'3'',../../../en/results/speed-skating/athlete-profile-n1055968-thomas-krol.htm
KROL Yuliia,KROL Y,Female,1998-10-22,SUMY,Ukraine,Ukraine,UKR,Cross-Country Skiing,CCS,SUMY,Ukraine,,../../../en/results/cross-country-skiing/athlete-profile-n1042211-yuliia-krol.htm
KRUCHYNKINA Elena,KRUCHYNKINA E,Female,1995-03-28,SMOLNYI,Russian Federation,Belarus,BLR,Biathlon,BTH,SMOLNYI,Russian Federation,,../../../en/results/biathlon/athlete-profile-n1000192-elena-kruchynkina.htm
KRUEGER John-Henry,KRUEGER JH,Male,1995-03-27,"PITTSBURGH, PA",United States of America,Hungary,HUN,Short Track Speed Skating,STK,BUDAPEST,Hungary,,../../../en/results/short-track-speed-skating/athlete-profile-n1044462-john-henry-krueger.htm
KRUEGER Simen Hegstad,KRUEGER SH,Male,1993-03-13,OSLO,Norway,Norway,NOR,Cross-Country Skiing,CCS,OSLO,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1032193-simen-hegstad-krueger.htm
KRUGER Marcus,KRUGER M,Male,1990-05-27,STOCKHOLM,Sweden,Sweden,SWE,Ice Hockey,IHO,ZURICH,Switzerland,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1050521-marcus-kruger.htm
KRUZBERGS Roberts,KRUZBERGS R,Male,2001-04-18,VENTSPILS,Latvia,Latvia,LAT,Short Track Speed Skating,STK,VENTSPILS,Latvia,,../../../en/results/short-track-speed-skating/athlete-profile-n1037334-roberts-kruzbergs.htm
KRYEZIU Kiana,KRYEZIU K,Female,2004-11-11,,,Kosovo,KOS,Alpine Skiing,ALP,,,,../../../en/results/alpine-skiing/athlete-profile-n1004869-kiana-kryeziu.htm
KRYZL Krystof,KRYZL K,Male,1986-10-12,PRAGUE,Czech Republic,Czech Republic,CZE,Alpine Skiing,ALP,PRAGUE,Czech Republic,,../../../en/results/alpine-skiing/athlete-profile-n1013901-krystof-kryzl.htm
KUBACKI Dawid,KUBACKI D,Male,1990-03-12,NOWY TARG,Poland,Poland,POL,Ski Jumping,SJP,SZAFLARY,Poland,,../../../en/results/ski-jumping/athlete-profile-n1032014-dawid-kubacki.htm
KUBO Hanae,KUBO H,Female,1982-12-10,SANKO,Japan,Japan,JPN,Ice Hockey,IHO,,,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1042430-hanae-kubo.htm
KUCEROVA Nikol,KUCEROVA N,Female,1989-06-23,SEMILY,Czech Republic,Czech Republic,CZE,Freestyle Skiing,FRS,BENESOV,Czech Republic,,../../../en/results/freestyle-skiing/athlete-profile-n1034702-nikol-kucerova.htm
KUCHIN Zakhar,KUCHIN Z,Male,1997-10-31,,,Kazakhstan,KAZ,Alpine Skiing,ALP,RIDDER,Kazakhstan,,../../../en/results/alpine-skiing/athlete-profile-n1048154-zakhar-kuchin.htm
KUCHLER Albert,KUCHLER A,Male,1998-11-30,LAM,Germany,Germany,GER,Cross-Country Skiing,CCS,RUHPOLDING,Germany,,../../../en/results/cross-country-skiing/athlete-profile-n1012733-albert-kuchler.htm
KUCZYNSKI Lukasz,KUCZYNSKI L,Male,1999-06-23,SOKOLKA,Poland,Poland,POL,Short Track Speed Skating,STK,BIALYSTOK,Poland,,../../../en/results/short-track-speed-skating/athlete-profile-n1035710-lukasz-kuczynski.htm
KUEHN Johannes,KUEHN J,Male,1991-11-19,PASSAU,Germany,Germany,GER,Biathlon,BTH,RUHPOLDING,Germany,,../../../en/results/biathlon/athlete-profile-n1012708-johannes-kuehn.htm
KUELM Susan,KUELM S,Female,1996-08-13,TALLINN,Estonia,Estonia,EST,Biathlon,BTH,OTEPAEAE,Estonia,,../../../en/results/biathlon/athlete-profile-n1036080-susan-kuelm.htm
KUHN Kaila,KUHN K,Female,2003-04-08,"BOYNE CITY, MI",United States of America,United States of America,USA,Freestyle Skiing,FRS,"PARK CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1051613-kaila-kuhn.htm
KUHNHACKL Tom,KUHNHACKL T,Male,1992-01-21,LANDSHUT,Germany,Germany,GER,Ice Hockey,IHO,SKELLEFTEA,Sweden,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1001173-tom-kuhnhackl.htm
KUKUCZKA Karolina,KUKUCZKA K,Female,2002-12-14,,,Poland,POL,Cross-Country Skiing,CCS,KONIAKOW,Poland,,../../../en/results/cross-country-skiing/athlete-profile-n1032079-karolina-kukuczka.htm
KULDA Arturs,KULDA A,Male,1988-07-25,LEIPZIG,German Democratic Republic,Latvia,LAT,Ice Hockey,IHO,KREFELD,Germany,1.88/6'2'',../../../en/results/ice-hockey/athlete-profile-n1037272-arturs-kulda.htm
KULISHOVA Viktoria,KULISHOVA V,Female,1999-08-12,MEGION,Russian Federation,ROC,ROC,Ice Hockey,IHO,NIZHNY NOVGOROD,Russian Federation,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1056263-viktoria-kulishova.htm
KULIZHNIKOV Pavel,KULIZHNIKOV P,Male,1994-04-20,VORKUTA,Russian Federation,ROC,ROC,Speed Skating,SSK,KOLOMNA,Russian Federation,1.85/6'0'',../../../en/results/speed-skating/athlete-profile-n1037999-pavel-kulizhnikov.htm
KUMARITASHVILI Saba,KUMARITASHVILI S,Male,2000-09-08,,,Georgia,GEO,Luge,LUG,TBILISI,Georgia,,../../../en/results/luge/athlete-profile-n1051032-saba-kumaritashvili.htm
KUMMER Patrizia,KUMMER P,Female,1987-10-16,BRIG,Switzerland,Switzerland,SUI,Snowboard,SBD,MUHLEBACH,Switzerland,,../../../en/results/snowboard/athlete-profile-n1048651-patrizia-kummer.htm
KUNDRATEK Tomas,KUNDRATEK T,Male,1989-12-26,PREROV,Czechoslovakia,Czech Republic,CZE,Ice Hockey,IHO,TRINEC,Czech Republic,1.88/6'2'',../../../en/results/ice-hockey/athlete-profile-n1055672-tomas-kundratek.htm
KUNITAKE Hiroaki,KUNITAKE H,Male,2002-02-10,HIGASHIURA-CHOU,Japan,Japan,JPN,Snowboard,SBD,AGUI-CHOU,Japan,,../../../en/results/snowboard/athlete-profile-n1043810-hiroaki-kunitake.htm
KUPCZAK Szczepan,KUPCZAK S,Male,1992-11-29,JUSZCZYNA,Poland,Poland,POL,Nordic Combined,NCB,,Poland,,../../../en/results/nordic-combined/athlete-profile-n1032115-szczepan-kupczak.htm
KURAKOVA Ekaterina,KURAKOVA E,Female,2002-06-24,MOSCOW,Poland,Poland,POL,Figure Skating,FSK,TORUN,Poland,,../../../en/results/figure-skating/athlete-profile-n1036062-ekaterina-kurakova.htm
KUSMUK Sanja,KUSMUK S,Female,1996-03-17,SOKOLAC,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Cross-Country Skiing,CCS,PALE,Bosnia and Herzegovina,,../../../en/results/cross-country-skiing/athlete-profile-n1037368-sanja-kusmuk.htm
KUSTOVA Alexandra,KUSTOVA A,Female,1998-08-26,,Russian Federation,ROC,ROC,Ski Jumping,SJP,MAGADAN,Russian Federation,,../../../en/results/ski-jumping/athlete-profile-n1036692-alexandra-kustova.htm
KUZIN Denis,KUZIN D,Male,1988-12-04,QOSTANAI,Kazakhstan,Kazakhstan,KAZ,Speed Skating,SSK,QOSTANAI,Kazakhstan,1.88/6'2'',../../../en/results/speed-skating/athlete-profile-n1048165-denis-kuzin.htm
KUZMINA Ekaterina,KUZMINA E,Female,1996-01-05,MOSCOW,Russian Federation,ROC,ROC,Curling,CUR,MOSCOW,Russian Federation,,../../../en/results/curling/athlete-profile-n1036538-ekaterina-kuzmina.htm
KUZNETSOV Ivan,KUZNETSOV I,Male,1996-06-08,PETROPAVLOVSK,Russian Federation,ROC,ROC,Alpine Skiing,ALP,PETROPAVLOVSK,Russian Federation,,../../../en/results/alpine-skiing/athlete-profile-n1038074-ivan-kuznetsov.htm
KVITELASHVILI Morisi,KVITELASHVILI M,Male,1995-03-17,MOSCOW,Russian Federation,Georgia,GEO,Figure Skating,FSK,MOSCOW,Russian Federation,,../../../en/results/figure-skating/athlete-profile-n1036019-morisi-kvitelashvili.htm
KWAK Yoongy,KWAK Y,Male,1989-12-26,SEOUL,Republic of Korea,Republic of Korea,KOR,Short Track Speed Skating,STK,SEOUL,Republic of Korea,,../../../en/results/short-track-speed-skating/athlete-profile-n1036472-yoongy-kwak.htm
KWIATKOWSKI Oskar,KWIATKOWSKI O,Male,1996-04-25,,Poland,Poland,POL,Snowboard,SBD,ZAKOPANE,Poland,,../../../en/results/snowboard/athlete-profile-n1032096-oskar-kwiatkowski.htm
KYKKAENEN Julia,KYKKAENEN J,Female,1994-04-17,LAHTI,Finland,Finland,FIN,Ski Jumping,SJP,,Finland,,../../../en/results/ski-jumping/athlete-profile-n1013038-julia-kykkaenen.htm
KYLLOENEN Anne,KYLLOENEN A,Female,1987-11-30,KAJAANI,Finland,Finland,FIN,Cross-Country Skiing,CCS,JYVASKYLA,Finland,1.73/5'8'',../../../en/results/cross-country-skiing/athlete-profile-n1044069-anne-kylloenen.htm
KYTOSAHO Niko,KYTOSAHO N,Male,1999-12-18,PAIMIO,Finland,Finland,FIN,Ski Jumping,SJP,KUOPIO (WINTER IN LAHTI),Finland,,../../../en/results/ski-jumping/athlete-profile-n1025190-niko-kytosaho.htm
LABASTAU Mikita,LABASTAU M,M,,,,Belarus,BLR,,BTH,,,,../../../en/results/biathlon/athlete-profile-n1000221-mikita-labastau.htm
LACHAT Pablo,LACHAT P,Male,2000-10-20,MORGES,Switzerland,Switzerland,SUI,Curling,CUR,LAUSANNE,Switzerland,,../../../en/results/curling/athlete-profile-n1048683-pablo-lachat.htm
LACK Saskja,LACK S,Female,2000-04-18,WINTERTHUR,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,WINTERTHUR,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048690-saskja-lack.htm
LADNER Marco,LADNER M,Male,1998-04-22,,Austria,Austria,AUT,Freestyle Skiing,FRS,ISCHGL,Austria,,../../../en/results/freestyle-skiing/athlete-profile-n1005571-marco-ladner.htm
LAEGREID Sturla Holm,LAEGREID SH,Male,1997-02-20,BAERUM,Norway,Norway,NOR,Biathlon,BTH,LILLEHAMMER,Norway,,../../../en/results/biathlon/athlete-profile-n1031959-sturla-holm-laegreid.htm
LAFFONT Perrine,LAFFONT P,Female,1998-10-28,LAVELANET,France,France,FRA,Freestyle Skiing,FRS,NIAUX,France,,../../../en/results/freestyle-skiing/athlete-profile-n1035840-perrine-laffont.htm
LAGHA Zachary,LAGHA Z,Male,1999-04-15,"GREENFIELD PARK, QC",Canada,Canada,CAN,Figure Skating,FSK,"ST.-HUBERT, QC",Canada,,../../../en/results/figure-skating/athlete-profile-n1038603-zachary-lagha.htm
LAHAYE-GOFFART Tom,LAHAYE-GOFFART T,Male,1996-04-04,LIEGE,Belgium,Belgium,BEL,Biathlon,BTH,VILLARD DE LANCE,France,,../../../en/results/biathlon/athlete-profile-n1052853-tom-lahaye-goffart.htm
LAINE Tormis,LAINE T,Male,2000-08-06,TALLINN,Estonia,Estonia,EST,Alpine Skiing,ALP,GOETZENS,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1031516-tormis-laine.htm
LAITINEN Heikki,LAITINEN H,Male,1994-09-28,PIEKSAEMAEKI,Finland,Finland,FIN,Biathlon,BTH,JOENSUU,Finland,,../../../en/results/biathlon/athlete-profile-n1035590-heikki-laitinen.htm
LAITINEN Nelli,LAITINEN N,Female,2002-04-29,LOHJA,Finland,Finland,FIN,Ice Hockey,IHO,,,1.69/5'6'',../../../en/results/ice-hockey/athlete-profile-n1005539-nelli-laitinen.htm
LAJOIE Marjorie,LAJOIE M,Female,2000-11-06,"BOUCHERVILLE, QC",Canada,Canada,CAN,Figure Skating,FSK,"BOUCHERVILLE, QC",Canada,,../../../en/results/figure-skating/athlete-profile-n1038606-marjorie-lajoie.htm
LALENKOVA Evgeniia,LALENKOVA E,Female,1990-09-08,FURMANOV,Commonwealth of Independent States,ROC,ROC,Speed Skating,SSK,MOSCOW,Russian Federation,1.71/5'7'',../../../en/results/speed-skating/athlete-profile-n1038000-evgeniia-lalenkova.htm
LAMBERT Adam,LAMBERT A,Male,1997-10-05,"JINDABYNE, NSW",Australia,Australia,AUS,Snowboard,SBD,"JINDABYNE, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046175-adam-lambert.htm
LAMMIE Bobby,LAMMIE B,Male,1997-02-10,STRANRAER,Great Britain,Great Britain,GBR,Curling,CUR,STIRLING,Great Britain,,../../../en/results/curling/athlete-profile-n1044153-bobby-lammie.htm
LAMPARTER Johannes,LAMPARTER J,Male,2001-11-08,HALL IN TIROL,Austria,Austria,AUT,Nordic Combined,NCB,RUM,Austria,,../../../en/results/nordic-combined/athlete-profile-n1005622-johannes-lamparter.htm
LAMPIC Anamarija,LAMPIC A,Female,1995-06-17,KRANJ,Slovenia,Slovenia,SLO,Cross-Country Skiing,CCS,VALBURGA,Slovenia,,../../../en/results/cross-country-skiing/athlete-profile-n1050911-anamarija-lampic.htm
LAMPIC Janez,LAMPIC J,Male,1996-09-27,LJUBLJANA,Slovenia,Slovenia,SLO,Cross-Country Skiing,CCS,KRANJ,Slovenia,,../../../en/results/cross-country-skiing/athlete-profile-n1050917-janez-lampic.htm
LANDER Anton,LANDER A,Male,1991-04-24,SUNDSVALL,Sweden,Sweden,SWE,Ice Hockey,IHO,ZUG,Switzerland,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1050522-anton-lander.htm
LANDER Jasmin,LANDER J,Female,2000-02-04,HVIDOVRE,Denmark,Denmark,DEN,Curling,CUR,HVIDOVRE,Denmark,,../../../en/results/curling/athlete-profile-n1031832-jasmin-lander.htm
LANDSTEINER John,LANDSTEINER J,Male,1990-05-19,"MANKATO, MN",United States of America,United States of America,USA,Curling,CUR,"DULUTH, MN",United States of America,,../../../en/results/curling/athlete-profile-n1034619-john-landsteiner.htm
LANGELAAR Tyson,LANGELAAR T,Male,1999-02-17,"WINNIPEG, MB",Canada,Canada,CAN,Speed Skating,SSK,"CALGARY, AB",Canada,1.91/6'3'',../../../en/results/speed-skating/athlete-profile-n1038495-tyson-langelaar.htm
LANGENHAN Max,LANGENHAN M,Male,1999-02-21,FRIEDRICHRODA,Germany,Germany,GER,Luge,LUG,FRIEDRICHRODA,Germany,,../../../en/results/luge/athlete-profile-n1014538-max-langenhan.htm
LANGENHORST Carolin,LANGENHORST C,Female,1996-02-03,HAMM,Germany,Germany,GER,Snowboard,SBD,BISCHOFSWIESEN,Germany,,../../../en/results/snowboard/athlete-profile-n1001666-carolin-langenhorst.htm
LANGER Thierry,LANGER T,Male,1991-10-24,MALMEDY,Belgium,Belgium,BEL,Biathlon,BTH,NIDRUM,Belgium,,../../../en/results/biathlon/athlete-profile-n1045278-thierry-langer.htm
LANGLAND Hailey,LANGLAND H,Female,2000-08-02,"IRVINE, CA",United States of America,United States of America,USA,Snowboard,SBD,"SAN CLEMENTE, CA",United States of America,,../../../en/results/snowboard/athlete-profile-n1044712-hailey-langland.htm
LANISEK Anze,LANISEK A,Male,1996-04-20,LJUBLIJANA,Slovenia,Slovenia,SLO,Ski Jumping,SJP,DOMZALE,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1050932-anze-lanisek.htm
LAOUN Maxime,LAOUN M,Male,1996-08-12,"MONTREAL, QC",Canada,Canada,CAN,Short Track Speed Skating,STK,"MONTREAL, QC",Canada,,../../../en/results/short-track-speed-skating/athlete-profile-n1038569-maxime-laoun.htm
LAPALUS Hugo,LAPALUS H,Male,1998-07-09,ANNECY,France,France,FRA,Cross-Country Skiing,CCS,MANIGOD,France,,../../../en/results/cross-country-skiing/athlete-profile-n1035818-hugo-lapalus.htm
LAPIERRE Jules,LAPIERRE J,Male,1996-01-02,GRENOBLE,France,France,FRA,Cross-Country Skiing,CCS,LE SAPPEY EN CHARTREUSE,France,,../../../en/results/cross-country-skiing/athlete-profile-n1035819-jules-lapierre.htm
LAPORAL Jerome,LAPORAL J,Male,1993-09-15,MARIE-GALANTE,France,France,FRA,Bobsleigh,BOB,LILLE,France,,../../../en/results/bobsleigh/athlete-profile-n1034741-jerome-laporal.htm
LAPSHIN Timofei,LAPSHIN T,Male,1988-02-03,KRASNOYARSK,USSR,Republic of Korea,KOR,Biathlon,BTH,ODINTSOVO,Russian Federation,,../../../en/results/biathlon/athlete-profile-n1037778-timofei-lapshin.htm
LAPTEV Aleksei,LAPTEV A,Male,1998-05-13,,,ROC,ROC,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1056085-aleksei-laptev.htm
LAROCQUE Jocelyne,LAROCQUE J,Female,1988-05-19,"STE. ANNE, MB",Canada,Canada,CAN,Ice Hockey,IHO,"BRANTFORD, ON",Canada,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1036278-jocelyne-larocque.htm
LARSEN My,LARSEN M,Female,1999-02-09,GENTOFTE,Denmark,Denmark,DEN,Curling,CUR,HVIDOVRE,Denmark,,../../../en/results/curling/athlete-profile-n1032324-my-larsen.htm
LARSEN Oliver,LARSEN O,Male,1998-12-25,AALBORG,Denmark,Denmark,DEN,Ice Hockey,IHO,MIKKELI,Finland,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1031894-oliver-larsen.htm
LARSON Casey,LARSON C,Male,1998-12-16,"BARRINGTON, IL",United States of America,United States of America,USA,Ski Jumping,SJP,"BARRINGTON, IL",United States of America,,../../../en/results/ski-jumping/athlete-profile-n1041425-casey-larson.htm
